2025-09-19 19:17:30,050 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:17:30,052 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:17:30,066 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:17:30,101 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:17:30,115 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:18:29,951 | WARNING | restaurant_app | rate_limit_error:1002 | Rate limit exceeded: 127.0.0.1
2025-09-19 19:18:29,952 | WARNING | restaurant_app | rate_limit_error:1002 | Rate limit exceeded: 127.0.0.1
2025-09-19 19:18:29,964 | WARNING | restaurant_app | rate_limit_error:1002 | Rate limit exceeded: 127.0.0.1
2025-09-19 19:18:29,969 | WARNING | restaurant_app | rate_limit_error:1002 | Rate limit exceeded: 127.0.0.1
2025-09-19 19:18:29,997 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:18:30,010 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:18:30,047 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:18:30,058 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:18:30,068 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:18:30,071 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:18:30,074 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:18:30,084 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:29:17,600 | WARNING | werkzeug | _log:97 |  * Debugger is active!
2025-09-19 19:29:23,610 | ERROR | restaurant_app | execute_query:1819 | Database operational error: no such table: payment_cards
2025-09-19 19:29:23,611 | ERROR | restaurant_app | api_get_payment_methods:8793 | Get payment methods error: no such table: payment_cards
2025-09-19 19:29:23,636 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:29:23,650 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:29:30,017 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:29:30,023 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:29:30,043 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:29:30,053 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:29:31,378 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/default-women.jpg
